,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
2016-03-31,0.010007838118184509,0.038788351599240434,-0.014720171573351815,0.0639951288243843,0.0872943277055771,0.04522190320802988,0.04832920824647369,0.06281225840920301,-0.03092056180868663,0.03353640847113448,-0.0005303146652000379,0.019577945902000016,0.002470790195000072
2016-06-30,0.029250324248445647,0.04027785772633674,0.03932008912899598,0.01109413861785069,0.07001527901548288,0.01802888539370251,0.04160418951891853,0.06762580880789226,0.1254532632847214,0.05520312880106282,0.016441137696422192,0.06016020520200005,0.019943050973000087
2016-09-30,0.04486239545386583,0.04036479803970594,0.08921007241378853,0.08993021939386714,-0.0045679910947047375,0.010468959572672576,0.011539351021156774,-0.015004633356834551,-0.045103140611654324,0.05550727978861136,0.02815984749098055,0.0414585656219999,0.0172394989839999
2016-12-31,0.03717380633284506,0.07377436772948309,0.09013931946337994,-0.054464688371779646,-0.12640527424578463,-0.02640649673683826,-0.03847496674118345,-0.028562945586025235,0.05735495269723789,0.017523815924326502,0.010995762913462714,0.0414585656219999,0.0172394989839999
2017-03-31,0.0576495291158845,0.03883788182114478,0.0224389835395562,0.12510726283654772,0.01740811161233946,0.013077511157943755,0.011685608082752097,0.008040706540647147,-0.05424380199944179,0.026980614907037515,0.02795839742417572,0.03793863619500004,0.002906863261000092
2017-06-30,0.028833745343726624,0.019452599269236037,0.025021730264082498,0.055643052401255,0.043103147826891064,-0.004609788195998332,0.030302385292994005,0.017375000172531907,-0.05398105624387706,0.0216894977168951,0.012205979362475139,0.033430087044999945,0.03618638913099992
2017-09-30,0.046158332377692846,0.03214980483091656,0.05861781070049088,0.08262864647433754,0.0034162909191626234,0.007911233274941809,0.01397684100555674,0.00857993009070257,0.06276741312653078,0.01974978361790858,0.025479796233994545,0.033430087044999945,0.03618638913099992
2017-12-31,0.05972401745300937,0.06356679737904103,0.03278233743444714,0.06748657117371337,0.02529719196104474,0.012610369524634457,0.012904411043849429,0.0141491118020165,0.09261752372120946,0.004722222222222072,0.027546710305795807,0.04262870187000001,0.0118779900649999
2018-03-31,-0.009462634505329692,-0.008040910141196567,-0.0018329194190864762,0.024617962605916865,-0.03515576626561612,-0.008845352381084748,-0.028978169206888893,-0.08166017310849616,0.022727206159658175,-0.008570638650815532,6.295171174497405e-05,0.06753068024199993,0.07028582551899998
2018-06-30,0.036472183913700995,0.04294285101838802,0.07864082675165407,-0.0966637758650607,0.005193854512932861,0.008461410026007865,-0.015348614717380138,0.08924236505242211,0.07567569115614514,0.010255933568817044,0.005432717746585158,0.011679136859999995,0.016734205617999987
